institution,region,institution_size,avg_salary,regional_salary,age,gender,tenure_years,performance_grade,workload_level,flexible_work,quarter,overtime_hours,vacation_usage_rate,commute_time,burnout_risk_score,burnout_risk_level,quit_probability,expected_total_tenure
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,48,F,3,B,high,Y,2024Q4,15,0.58,56,57,medium,0.36,7
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,33,M,5,B,medium,N,2024Q3,14,0.58,95,45,medium,0.36,10
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,40,F,3,B,high,N,2024Q1,28,0.38,67,90,high,0.52,4
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,42,M,8,B,medium,Y,2024Q4,14,0.69,31,15,low,0.22,15
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,40,M,4,B,medium,N,2024Q3,6,0.79,65,30,low,0.32,10
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,43,F,4,C,medium,N,2024Q4,10,0.64,59,30,low,0.42,10
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,45,F,15,C,low,Y,2024Q4,0,0.84,80,10,low,0.21,22
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,34,F,10,B,medium,N,2024Q2,15,0.68,55,42,medium,0.26,15
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,43,F,3,A,medium,N,2024Q2,9,0.63,52,30,low,0.27,11
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,32,F,9,A,medium,N,2024Q1,9,0.51,56,40,medium,0.29,16
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,31,F,8,A,high,Y,2024Q3,28,0.37,59,80,high,0.37,12
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,35,M,7,B,medium,Y,2024Q3,11,0.71,59,20,low,0.22,14
(재)예술경영지원센터,서울특별시,73.0,48913.0,43857.63,31,M,3,B,medium,N,2024Q2,10,0.7,51,30,low,0.32,9
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,32,F,4,A,low,N,2024Q3,5,0.73,61,15,low,0.33,12
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,22,F,0,B,high,N,2024Q3,25,0.37,44,90,high,0.75,1
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,40,M,1,C,medium,Y,2024Q2,17,0.57,86,47,medium,0.61,4
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,33,F,4,C,medium,Y,2024Q2,10,0.82,75,25,low,0.45,11
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,35,F,5,B,low,N,2024Q1,4,0.69,68,15,low,0.38,11
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,38,M,3,B,medium,N,2024Q2,13,0.67,94,35,medium,0.45,8
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,30,M,6,A,medium,Y,2024Q3,1,0.65,39,15,low,0.28,15
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,32,F,7,B,medium,N,2024Q1,11,0.7,63,30,low,0.43,13
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,51,F,0,B,medium,N,2024Q2,10,0.6,50,30,low,0.55,6
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,50,F,1,C,medium,N,2024Q3,13,0.63,69,30,low,0.65,4
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,39,M,4,C,medium,N,2024Q2,12,0.72,51,30,low,0.53,10
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,29,F,5,C,medium,N,2024Q1,14,0.54,67,40,medium,0.55,10
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,23,F,0,B,high,N,2024Q3,34,0.15,70,100,high,0.77,1
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,31,M,5,B,high,Y,2024Q4,28,0.73,54,60,medium,0.48,9
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,48,M,14,B,medium,N,2024Q3,12,0.52,69,40,medium,0.37,19
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,58,M,2,B,medium,N,2024Q4,10,0.7,73,35,medium,0.57,7
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,51,M,6,B,medium,Y,2024Q1,12,0.65,77,25,low,0.35,13
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,50,M,8,B,medium,N,2024Q4,21,0.85,50,42,medium,0.45,13
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,25,F,3,C,high,N,2024Q3,21,0.36,61,77,high,0.7,4
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,37,F,5,A,high,N,2024Q1,21,0.57,60,67,high,0.52,8
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,47,F,7,B,high,N,2024Q3,21,0.51,72,72,high,0.59,8
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,45,M,10,C,medium,N,2024Q1,11,0.84,65,30,low,0.45,16
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,31,M,6,B,medium,N,2024Q4,12,0.71,53,30,low,0.43,12
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,31,M,7,C,medium,Y,2024Q2,9,0.74,49,15,low,0.43,14
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,41,F,3,A,low,Y,2024Q2,2,0.76,53,5,low,0.23,12
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,38,M,8,A,medium,N,2024Q2,17,0.6,42,37,medium,0.4,15
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,33,M,9,B,low,N,2024Q2,3,0.81,76,20,low,0.4,15
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,58,F,8,B,medium,Y,2024Q1,11,0.86,67,20,low,0.33,15
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,22,F,0,B,medium,Y,2024Q1,5,0.85,89,25,low,0.47,7
(재)우체국금융개발원,서울특별시,851.0,57780.0,57817.51,35,M,4,C,medium,Y,2024Q2,6,0.68,96,25,low,0.45,11
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,31,M,5,A,medium,Y,2024Q1,6,0.72,52,20,low,0.17,16
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,24,M,2,B,medium,N,2024Q2,17,0.69,91,47,medium,0.48,7
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,35,F,4,B,medium,N,2024Q1,7,0.63,69,30,low,0.32,10
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,31,M,9,B,medium,N,2024Q1,6,0.63,39,25,low,0.32,15
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,40,F,4,B,medium,Y,2024Q2,10,0.85,76,25,low,0.24,11
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,55,F,5,B,medium,Y,2024Q2,6,0.79,84,25,low,0.24,12
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,31,M,9,B,medium,N,2024Q2,3,0.7,42,25,low,0.32,15
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,38,M,6,A,medium,N,2024Q2,10,0.6,31,25,low,0.27,14
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,38,M,3,B,medium,Y,2024Q1,7,0.96,75,25,low,0.24,10
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,33,M,6,B,high,Y,2024Q1,26,0.49,62,70,high,0.39,8
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,47,M,7,B,low,Y,2024Q2,0,0.95,64,5,low,0.17,16
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,34,F,3,B,high,Y,2024Q1,24,0.48,69,57,medium,0.36,7
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,44,F,5,A,medium,Y,2024Q4,10,0.7,58,20,low,0.17,16
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,58,M,8,B,medium,N,2024Q2,17,0.8,73,47,medium,0.36,13
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,30,M,0,B,low,N,2024Q4,13,0.78,35,10,low,0.39,6
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,36,F,6,C,low,Y,2024Q1,3,0.92,48,0,low,0.27,13
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,34,M,4,C,medium,Y,2024Q3,5,0.81,68,20,low,0.32,11
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,26,M,2,B,low,N,2024Q2,4,0.64,63,15,low,0.39,8
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,39,M,17,B,high,N,2024Q2,28,0.35,55,90,high,0.44,18
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,41,F,11,B,low,Y,2024Q4,7,0.71,49,0,low,0.09,20
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,48,M,3,B,high,Y,2024Q3,12,0.34,64,55,medium,0.37,7
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,36,F,3,B,medium,N,2024Q2,16,0.49,67,52,medium,0.36,8
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,29,M,7,B,medium,Y,2024Q2,11,0.93,61,20,low,0.22,14
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,58,M,3,B,high,Y,2024Q2,21,0.52,48,52,medium,0.36,7
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,43,F,8,B,low,N,2024Q4,1,0.75,49,10,low,0.27,14
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,58,M,4,B,high,N,2024Q1,26,0.58,60,80,high,0.49,5
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,35,F,0,C,high,N,2024Q4,22,0.4,60,72,high,0.68,1
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,48,F,5,B,medium,Y,2024Q4,6,0.84,48,15,low,0.22,12
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,33,M,6,B,high,N,2024Q2,6,0.54,64,55,medium,0.44,9
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,31,F,2,A,medium,N,2024Q1,9,0.64,50,30,low,0.39,10
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,40,M,4,C,medium,Y,2024Q3,0,0.85,39,15,low,0.32,11
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,35,F,4,B,low,N,2024Q2,2,0.85,37,10,low,0.27,10
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,23,F,1,A,low,Y,2024Q2,2,1.0,70,10,low,0.26,10
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,43,F,2,C,low,Y,2024Q3,0,0.83,68,5,low,0.39,9
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,37,F,7,B,low,N,2024Q1,4,0.96,56,15,low,0.27,13
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,24,F,2,A,low,N,2024Q2,6,0.82,43,10,low,0.34,10
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,35,F,1,A,low,N,2024Q2,6,0.92,64,15,low,0.34,9
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,48,F,2,C,medium,Y,2024Q2,8,0.63,43,15,low,0.44,9
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,22,F,0,B,medium,N,2024Q2,15,0.56,55,52,medium,0.48,5
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,36,F,6,B,high,N,2024Q3,14,0.63,48,40,medium,0.42,9
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,31,M,3,B,low,Y,2024Q2,1,0.91,81,10,low,0.19,12
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,27,F,5,B,low,Y,2024Q3,1,0.87,47,0,low,0.17,14
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,39,F,7,B,medium,N,2024Q4,16,0.69,64,42,medium,0.34,12
(재)우체국물류지원단,서울특별시,1480.5,58397.0,57841.82,44,M,2,C,high,Y,2024Q2,18,0.54,73,62,medium,0.6,3
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,27,M,4,C,medium,N,2024Q1,7,0.75,45,25,low,0.42,10
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,29,F,3,B,low,Y,2024Q2,2,0.95,70,10,low,0.19,12
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,33,M,2,A,high,N,2024Q3,29,0.47,43,75,high,0.56,5
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,28,M,4,B,low,Y,2024Q2,5,0.88,33,0,low,0.17,13
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,59,F,3,B,medium,N,2024Q3,6,0.63,62,30,low,0.32,9
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,52,M,9,B,low,N,2024Q3,5,0.81,56,15,low,0.27,15
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,32,M,2,B,low,N,2024Q1,0,0.9,90,20,low,0.41,8
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,31,M,8,B,high,N,2024Q4,22,0.46,50,67,high,0.46,9
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,49,F,7,B,medium,N,2024Q4,9,0.62,84,35,medium,0.34,12
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,27,F,2,B,low,N,2024Q3,4,0.81,47,10,low,0.39,8
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,34,M,2,C,medium,N,2024Q2,14,0.65,63,30,low,0.54,8
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,32,M,3,A,medium,N,2024Q3,14,0.64,67,30,low,0.27,11
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,39,F,15,B,medium,Y,2024Q4,17,0.46,44,37,medium,0.18,23
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,25,M,3,B,medium,Y,2024Q4,6,0.8,47,15,low,0.22,10
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,32,M,10,B,medium,N,2024Q2,12,0.59,77,45,medium,0.28,15
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,56,M,10,B,low,N,2024Q1,2,0.72,67,15,low,0.19,18
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,25,M,3,C,medium,Y,2024Q2,8,0.84,51,20,low,0.32,10
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,31,F,4,B,medium,N,2024Q2,12,0.69,65,30,low,0.32,10
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,37,M,2,A,medium,N,2024Q1,12,0.62,51,30,low,0.39,10
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,22,M,0,B,high,N,2024Q4,19,0.26,72,87,high,0.63,1
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,31,M,9,B,high,Y,2024Q2,22,0.53,62,57,medium,0.36,13
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,32,F,9,B,medium,N,2024Q3,13,0.6,91,35,medium,0.34,14
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,34,M,4,B,medium,N,2024Q2,10,0.79,47,25,low,0.32,10
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,25,F,3,C,medium,N,2024Q4,15,0.59,34,47,medium,0.46,8
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,44,M,2,C,medium,N,2024Q4,12,0.75,100,35,medium,0.56,7
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,35,M,7,B,medium,N,2024Q3,17,0.54,71,57,medium,0.38,12
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,27,F,4,B,medium,N,2024Q1,5,0.69,52,30,low,0.32,10
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,52,M,1,B,medium,N,2024Q1,11,0.65,48,25,low,0.44,7
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,40,M,3,C,medium,N,2024Q3,11,0.7,74,35,medium,0.44,8
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,29,F,3,B,high,N,2024Q3,14,0.61,51,45,medium,0.42,6
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,59,F,8,C,medium,N,2024Q4,14,0.61,64,30,low,0.42,14
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,37,F,7,B,medium,N,2024Q1,11,0.75,63,30,low,0.32,13
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,42,F,5,A,medium,Y,2024Q2,6,0.74,44,15,low,0.17,16
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,48,M,10,A,medium,N,2024Q3,11,0.59,27,35,medium,0.21,17
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,38,M,8,B,medium,N,2024Q2,5,0.65,41,25,low,0.32,14
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,29,F,4,B,low,Y,2024Q4,2,0.98,61,5,low,0.17,13
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,33,M,5,A,medium,N,2024Q2,14,0.6,53,40,medium,0.29,12
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,39,F,8,C,high,Y,2024Q4,19,0.34,43,62,medium,0.49,12
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,31,M,8,C,medium,Y,2024Q3,7,0.8,52,20,low,0.32,15
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,28,M,6,B,high,N,2024Q3,18,0.71,76,62,medium,0.46,9
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,34,M,1,C,medium,N,2024Q4,13,0.64,64,30,low,0.54,7
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,43,M,5,B,medium,Y,2024Q2,12,0.56,89,35,medium,0.26,11
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,52,F,11,B,high,Y,2024Q1,18,0.69,56,47,medium,0.26,15
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,44,M,8,B,medium,N,2024Q3,12,0.64,48,25,low,0.32,14
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,31,M,6,C,medium,N,2024Q1,18,0.78,38,37,medium,0.44,11
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,29,F,7,B,low,N,2024Q1,5,0.69,35,10,low,0.27,13
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,24,M,2,A,low,N,2024Q3,7,0.78,69,15,low,0.34,10
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,31,M,1,B,high,N,2024Q2,22,0.44,29,67,high,0.58,2
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,44,M,4,A,medium,N,2024Q2,8,0.89,72,35,medium,0.29,11
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,31,F,7,B,low,N,2024Q2,5,0.67,59,15,low,0.27,13
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,23,F,1,A,medium,N,2024Q3,9,0.47,53,40,medium,0.41,8
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,58,M,8,B,high,N,2024Q4,21,0.52,58,67,high,0.46,9
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,49,F,2,C,low,Y,2024Q1,1,1.0,53,5,low,0.39,9
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,27,F,0,B,medium,Y,2024Q1,10,0.71,64,20,low,0.34,7
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,37,F,8,B,high,Y,2024Q3,24,0.53,54,57,medium,0.36,12
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,24,M,1,A,medium,Y,2024Q1,13,0.82,23,15,low,0.29,10
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,24,F,2,B,medium,Y,2024Q1,6,0.65,62,20,low,0.34,9
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,34,M,5,B,low,Y,2024Q3,3,0.9,63,5,low,0.17,14
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,35,M,6,B,medium,Y,2024Q3,11,0.95,66,20,low,0.22,13
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,35,M,3,B,medium,N,2024Q1,9,0.73,77,35,medium,0.34,8
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,30,M,4,C,medium,Y,2024Q1,12,0.63,91,25,low,0.34,11
(재)우체국시설관리단,서울특별시,2279.0,68208.0,67466.14,51,M,16,B,high,N,2024Q3,24,0.41,58,67,high,0.38,17
